Step,ObjectName,Description,Action,Input,Condition,Reference
1,Execute,,To Do scenario:Login,,,
2,Execute,,Wait:wait 2 sec,,,
3,Menu,Wait  for the element [<Object>] to be present,waitForElementToBePresent,,,Home Page
4,Menu,Click on [<Object>],clickByJS,,,Home Page
5,To Do,"Click the [<Object>] ",Click,,,Home Page
6,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
7,To Do Dashboard,"Click the [<Object>] ",clickByJS,,,Home Page
"*8",Browser,Scroll to bottom,scrollToBottom,,,
9,Execute,,Wait:wait 30 sec,,,
"*10",Browser,Assert if text: [<Data>] is present on the page,verifyTextPresentInPage,@To Do Dashboard,,
11,Browser,Wait for [<Data>] milli seconds,pause,@5000,,
12,Execute,,Evidence:Screen Shot,,,
